Kinase Target	ABT-869	AMG-706	AST-487	AZD-1152HQPA	BIRB-796	BMS-387032/SNS-032	CHIR-258/TKI-258	CHIR-265/RAF-265	CI-1033	CP-690550	CP-724714	Dasatinib	EKB-569	Erlotinib	Flavopiridol	Gefitinib	GW-2580	GW-786034	Imatinib	JNJ-7706621	Lapatinib	LY-333531	MLN-518	MLN-8054	PI-103	PKC-412	PTK-787	Roscovitine	SB-202190	SB-203580	SB-431542	Sorafenib	Staurosporine	SU-14813	Sunitinib	VX-680/MK-0457	VX-745	ZD-6474
EGFR(G719S)		1200	520	170	9100				0.19		17	79	0.42	0.52		1.1					2.1		230			5300			1900	1300			1100					5.9
EGFR(L747-E749del, A750P)		1200	220	2900	5300				0.17		720	110	0.24	0.52	2300	0.57			7600		2.2		260			620			2000	1700			96					12
EGFR(L747-S752del, P753S)		4500	550	8800					0.26		1800	320	0.27	0.47		0.57					3.9		410	6400		1700			1400	1600			300					7.9
EGFR(L747-T751del,Sins)		2600	530	3500	6800				0.26		560	160	0.23	0.35		0.52					3.5		470			1900			1100	1500			210					8.9
EGFR(L858R)			2600	980					0.24		110	120	0.41	0.97		0.94					2.8		400	3200		760			1900	1900			270					8.7
EGFR(L861Q)		3900	970	510					0.22		36	110	0.44	1.2		1.4					1.2		870			2800			2300	3200			600					11
EGFR(S752-I759del)				5200					0.19		1000	330	0.33	1.6	1400	0.98					4.2		350			1800			1700	2000			290					12
EPHA1					9800				2500			4.1				4000								1800								3100	300			1000		230
EPHA2			160		6200			2900				0.85			2500									370								2000	1200			840		1100
EPHA3	3500		80		880				2100			0.093	4000	2400	3300									2100								1900	27		2100	1500		2000
EPHA4			400		2900				3600			1.2												420								3000	290			4300		1600
EPHA5			140		1400				1200			0.24												1400									95					240
EPHA6	330	490	380		2000			1500	270					440		590								580					2200	1200		370	290	2000	960			50
EPHA7	110		1100		860									1400						3100				1000								5300	630		2400			2400
EPHA8			18		270			1100	2000			0.24	3300	940		1800			1400													2400	190			500		91
EPHB1			180		4900							0.45												330								3000	240		480	1900		290
EPHB2			130		440				2700			0.39																				1900	2100					440
EPHB3	1400											6.9												3500														
EPHB4	1400								1800			0.34	2800											560								1800				1700		520
ERBB2				4300					87		43	1400	500			3500					7																	2600
ERBB4				470					29		260	55	21	230		410					54					3100			4900				770					480
ERK1																																	8400					
ERK2																																	7300					
ERK3						500			1700							1600				480																		1500
ERK4						4100								2500		3100				1600																		
ERK5						650									620					520													1600					
ERK8	2800		94		3000	120									330					1100		88										46	35					
FER			590										8800					2700						4400		1200							24	34	1100			
FES			360										5700																				23		960			
FGFR1		6200	620		4300		150	4700				3700						990		810				2400		1600						2800	90	1900	520	550		560
FGFR2			1900				410					1400						210		680				1700		2400						2700	100	790	570	570		1100
FGFR3							230											740		510				1200		1700							88	560	290	860		1600
FGFR3(G697C)							370											620		690				1300								5900	310	380	1400	820		6900
FGFR4		6800	1400				4300											2800															250			7200		
FGR		6900	190				190		2800			0.5	950	1100				1600	2400	2000				220		730							17	390	270	790	1300	270
FLT1	7.5	12	86	110	410		69	800				5000		4400				14		2100			3100	1000		450	9.6					31	150	4.7	1.8	100		260
FLT3	0.63	71	0.79	8.2	2300		0.64	1400	2700									1100		850		1900	3			11						13	2.9	0.54	0.47	6.5		850
